protein,dms,model_name,corr,pval
dms_gal4,DMS_selC_40,DeepSequence,0.5244389442358764,1.7846031315575084e-85
dms_gal4,DMS_selC_40,esm1b,0.5762667197798632,9.145302069425205e-107
dms_gal4,DMS_selC_40,tape,0.10702926504179254,0.0002087347499559177
dms_gal4,DMS_selC_64,DeepSequence,0.494098640620667,1.2593633517964003e-74
dms_gal4,DMS_selC_64,esm1b,0.5517083524781503,3.2820582880648614e-96
dms_gal4,DMS_selC_64,tape,0.08448549621629675,0.003456143239333735
dms_gmr,DMS_30C,DeepSequence,0.502111208669019,1.221594736391909e-115
dms_gmr,DMS_30C,esm1b,0.23465733584245102,5.947209986999091e-24
dms_gmr,DMS_30C,tape,0.1492223778693787,1.9657539377758506e-10
dms_gmr,DMS_37C,DeepSequence,0.5518404077970945,3.578146801608473e-154
dms_gmr,DMS_37C,esm1b,0.2641519141608197,3.703630135783278e-32
dms_gmr,DMS_37C_glycerol,DeepSequence,0.441954874963,2.5618231516091494e-95
dms_gmr,DMS_37C_glycerol,esm1b,0.24061306519003084,1.961129535626483e-27
dms_gmr,DMS_37C_glycerol_Gm_25mug/mL,DeepSequence,0.5000288046295195,2.5951041350811585e-123
dms_gmr,DMS_37C_glycerol_Gm_25mug/mL,esm1b,0.2586144137201016,4.967532105786544e-31
dms_gmr,DMS_37C_glycerol_Gm_25mug/mL,tape,0.13649749763365576,1.5599094871630648e-09
dms_gmr,DMS_37C_glycerol,tape,0.10771153599509588,1.5853092357959618e-06
dms_gmr,DMS_37C_Gm_25mug/mL,DeepSequence,0.5528862800178228,1.708655638819014e-137
dms_gmr,DMS_37C_Gm_25mug/mL,esm1b,0.23116041222616127,3.5461337411146575e-22
dms_gmr,DMS_37C_Gm_25mug/mL,tape,0.17203647140060196,7.931267431625084e-13
dms_gmr,DMS_37C,tape,0.17267204841237216,2.234963951187687e-14
dms_gmr,DMS_37C_TMAO,DeepSequence,0.5354602416459431,4.4257688340098606e-141
dms_gmr,DMS_37C_TMAO,esm1b,0.2560155170568497,9.678659425274974e-30
dms_gmr,DMS_37C_TMAO_Gm_25mug/mL,DeepSequence,0.5244747022716602,1.9241006857494792e-112
dms_gmr,DMS_37C_TMAO_Gm_25mug/mL,esm1b,0.20302442938196127,3.601404841334802e-16
dms_gmr,DMS_37C_TMAO_Gm_25mug/mL,tape,0.1251976387695432,5.920115606905355e-07
dms_gmr,DMS_37C_TMAO,tape,0.16289457108337516,9.743610945684138e-13
dms_gmr,DMS_42C,DeepSequence,0.488492283294406,8.18894092756872e-81
dms_gmr,DMS_42C,esm1b,0.18744033860547538,5.359545884682432e-12
dms_gmr,DMS_42C_glycerol,DeepSequence,0.5455617274538593,2.295479656878454e-136
dms_gmr,DMS_42C_glycerol,esm1b,0.24915953240445138,3.4604592907451486e-26
dms_gmr,DMS_42C_glycerol,tape,0.2000092251450542,2.940393919314861e-17
dms_gmr,DMS_42C,tape,0.12628082412794703,3.782135644104369e-06
dms_gmr,DMS_42C_TMAO,DeepSequence,0.49225575207087474,1.5971627054010774e-91
dms_gmr,DMS_42C_TMAO,esm1b,0.17906556306072619,3.5708697036167628e-12
dms_gmr,DMS_42C_TMAO,tape,0.15058358916108583,5.437327919481325e-09
dms_haeiiim,DMS_G17,DeepSequence,0.6535582129318239,2.1125151804510994e-235
dms_haeiiim,DMS_G17,esm1b,0.4551141395246057,3.035073580121956e-99
dms_haeiiim,DMS_G17,tape,0.2710203065954,7.959518045613299e-34
dms_haeiiim,DMS_G3,DeepSequence,0.6414985237097386,3.874119314799191e-224
dms_haeiiim,DMS_G3,esm1b,0.42983149784919794,1.4165229749349164e-87
dms_haeiiim,DMS_G3,tape,0.24498042500995532,9.304257919282743e-28
dms_haeiiim,DMS_G7,DeepSequence,0.5683852644380207,1.731039854018041e-165
dms_haeiiim,DMS_G7,esm1b,0.3743257285880438,3.2795166017861567e-65
dms_haeiiim,DMS_G7,tape,0.1971056400153393,2.389784887195575e-18
dms_ha_h1,DMS,DeepSequence,0.2715379436470719,6.164522169310343e-178
dms_ha_h1,DMS,esm1b,0.006831785895297408,0.4794798872425735
dms_ha_h1,DMS,tape,0.04489882433348279,3.325082235409498e-06
dms_ha_h3,DMS,DeepSequence,0.26174259024142765,5.912845139255462e-168
dms_ha_h3,DMS,esm1b,0.03979000000675215,3.6682843840178484e-05
dms_ha_h3,DMS,tape,0.005990568835392918,0.5344915245496096
dms_hras,DMS_attenuated,DeepSequence,0.09480690806259634,1.0479560428403852e-07
dms_hras,DMS_attenuated,esm1b,0.12468040485935417,2.4600643101407932e-12
dms_hras,DMS_attenuated,tape,0.057199744766319956,0.0013552256819877912
dms_hras,DMS_g12v,DeepSequence,0.4438699613185293,1.6811402510481535e-151
dms_hras,DMS_g12v,esm1b,0.3497178062419292,7.226201924332676e-91
dms_hras,DMS_g12v,tape,0.4247168432404402,1.568932465970329e-137
dms_hras,DMS_regulated,DeepSequence,0.44617562240983905,3.0371217251659067e-153
dms_hras,DMS_regulated,esm1b,0.36274276899517155,4.0912902475523614e-98
dms_hras,DMS_regulated,tape,0.33920506541961,2.9030437061186834e-85
dms_hras,DMS_unregulated,DeepSequence,0.4485160951477809,5.0024730346647555e-155
dms_hras,DMS_unregulated,esm1b,0.33744030589032775,2.412670423440351e-84
dms_hras,DMS_unregulated,tape,0.34313452620187873,2.4744668581803584e-87
dms_hsp82,DMS,DeepSequence,0.4941006193275128,4.431885852908027e-265
dms_hsp82,DMS,esm1b,0.4634698830521854,2.584364322992875e-229
dms_hsp82,DMS,tape,0.12123787293858959,1.240178270302547e-15
dms_infa,DMS_min,DeepSequence,0.5307814630161093,2.840276824489343e-100
dms_infa,DMS_min,esm1b,0.4208192401563335,7.845950399878296e-60
dms_infa,DMS_min,tape,0.2356797230262909,1.0125160289824697e-18
dms_infa,DMS_rich,DeepSequence,0.5307814630161093,2.840276824489343e-100
dms_infa,DMS_rich,esm1b,0.4208192401563335,7.845950399878296e-60
dms_infa,DMS_rich,tape,0.2356797230262909,1.0125160289824697e-18
dms_mapk1,DMS_DOX,DeepSequence,0.524514722370891,0.0
dms_mapk1,DMS_DOX,esm1b,0.373504969562609,1.9699699099466527e-224
dms_mapk1,DMS_DOX,tape,0.38671135992345945,8.504481770906424e-242
dms_mapk1,DMS_SCH,DeepSequence,0.08739474498220408,5.027470327273498e-13
dms_mapk1,DMS_SCH,esm1b,0.1327464226169571,3.76650777226928e-28
dms_mapk1,DMS_SCH,tape,0.11865359835231262,8.827317007493954e-23
dms_mapk1,DMS_VRT,DeepSequence,0.19226655810441598,1.0358117677458512e-57
dms_mapk1,DMS_VRT,esm1b,0.19428791686892685,6.468816867288706e-59
dms_mapk1,DMS_VRT,tape,0.1960157656148386,5.896108441351724e-60
dms_p53,DMS_null_etoposide,DeepSequence,0.39916046455733617,5.587358101232554e-283
dms_p53,DMS_null_etoposide,esm1b,0.4662117127112948,0.0
dms_p53,DMS_null_etoposide,tape,0.14930492620836475,2.1785564796643656e-38
dms_p53,DMS_null_Nutlin,DeepSequence,0.32184512921424985,4.472343172720859e-179
dms_p53,DMS_null_Nutlin,esm1b,0.483120621788006,0.0
dms_p53,DMS_null_Nutlin,tape,0.14527600537808935,2.0485675143958018e-36
dms_p53,DMS_WT_Nutlin,DeepSequence,0.3964885512825907,6.819476268696585e-279
dms_p53,DMS_WT_Nutlin,esm1b,0.5383843977676436,0.0
dms_p53,DMS_WT_Nutlin,tape,0.18212067187086703,1.4650629497869918e-56
dms_pab1,DMS,DeepSequence,0.646482582897206,1.9835289912584704e-141
dms_pab1,DMS,esm1b,0.5534424865670067,3.2797864227792347e-96
dms_pab1,DMS,tape,0.04205833373171714,0.14757671051702773
dms_pa,DMS,esm1b,0.06729336828823616,0.004108023358839157
dms_pa,DMS,tape,0.027918215473392165,0.2342576639444928
dms_pten,DMS_(a),DeepSequence,0.4138912237146598,5.994125076026103e-170
dms_pten,DMS_(a),esm1b,0.4761378462978433,9.198046639956194e-232
dms_pten,DMS_(a),tape,0.0823465024990426,1.2377178356353775e-07
dms_pten,DMS_(b),DeepSequence,0.5104705911027728,0.0
dms_pten,DMS_(b),esm1b,0.48367075310876645,0.0
dms_pten,DMS_(b),tape,0.11599013311799901,3.5900737115909804e-23
dms_pten,DMS_highqual_(b),DeepSequence,0.5559132663038404,0.0
dms_pten,DMS_highqual_(b),esm1b,0.5260012052540839,0.0
dms_pten,DMS_highqual_(b),tape,0.12453342524812584,4.1916555277621856e-24
dms_sumo1,DMS,DeepSequence,0.5337810656274805,8.032294451579581e-126
dms_sumo1,DMS,esm1b,0.3157885896276414,1.1241442989969585e-40
dms_sumo1,DMS_flipped,DeepSequence,0.5362040259610918,3.6615327903771633e-127
dms_sumo1,DMS_flipped,esm1b,0.31668451584849927,6.568359153027196e-41
dms_sumo1,DMS_flipped,tape,0.11256949630941251,3.2755212179207252e-06
dms_sumo1,DMS,tape,0.113012016307842,2.995198806196016e-06
dms_tpk1,DMS,DeepSequence,0.24280099811590772,6.59230518635381e-44
dms_tpk1,DMS,esm1b,0.27265247383642754,2.4467581517281284e-55
dms_tpk1,DMS_flipped,DeepSequence,0.2564580220213769,5.9652162548650945e-49
dms_tpk1,DMS_flipped,esm1b,0.287941989304923,8.776512213990713e-62
dms_tpk1,DMS_flipped,tape,0.0722778466925846,4.4990937895917364e-05
dms_tpk1,DMS,tape,0.0729320149178018,3.834059710670674e-05
dms_tpmt,DMS,DeepSequence,0.4834839985341243,1.835353754713478e-215
dms_tpmt,DMS,esm1b,0.4725121311131753,1.4421159428018087e-204
dms_tpmt,DMS,tape,0.17541301086364663,7.063209389025722e-27
dms_ube2i,DMS,DeepSequence,0.5032009533628997,1.3342316719484786e-164
dms_ube2i,DMS,esm1b,0.4263867568406454,9.546331130764871e-114
dms_ube2i,DMS_flipped,DeepSequence,0.5234873675079789,2.3866498382839045e-180
dms_ube2i,DMS_flipped,esm1b,0.4446982138329051,1.030480784548674e-124
dms_ube2i,DMS_flipped,tape,0.25288409225938474,1.0978416415263214e-38
dms_ube2i,DMS,tape,0.24599286144592303,1.2334421881803485e-36
dms_ubi4,DMS_(a),DeepSequence,0.07270297274986905,0.011938746759664305
dms_ubi4,DMS_(a),esm1b,0.1410180933635024,9.870809481016613e-07
dms_ubi4,DMS_(a),tape,0.045150016465389034,0.11877341114537204
dms_ubi4,DMS_excess_(a),DeepSequence,0.010365479127409668,0.8494140150138807
dms_ubi4,DMS_excess_(a),esm1b,0.010811740592188342,0.8430130907790758
dms_ubi4,DMS_excess_(a),tape,0.026532512680460474,0.6269155200865255
dms_ubi4,DMS_limiting_(b),DeepSequence,0.1527675569083452,1.1742149691927832e-08
dms_ubi4,DMS_limiting_(b),esm1b,0.12474707700206321,3.3498043920854033e-06
dms_ubi4,DMS_limiting_(b),tape,0.09958659786699339,0.00021110758023253228
